NO_OF_FRAMES	2734
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:51:16	6281.31358754
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Back top	Back right	Back left	Box back	Box left
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
1511	25.16667	446.055	245.072	155.261	396.854	246.300	-70.142	349.223	170.206	-425.723	352.608	195.724	-381.860	363.048	165.459	-378.248	440.891	129.195	-461.019	384.658	154.954	-524.369	387.701	185.639	-536.125	676.756	274.554	221.245	678.365	286.789	165.125	704.101	275.610	163.452	420.941	-798.551	193.180	513.984	-757.020	182.813
1512	25.18333	446.229	246.297	155.013	397.156	247.052	-70.491	348.367	169.014	-425.376	352.303	194.906	-381.760	362.341	164.539	-377.993	439.353	126.294	-460.564	383.644	152.439	-524.048	387.008	182.882	-535.866	677.195	274.128	221.364	678.971	286.445	165.242	704.604	275.104	163.586	420.927	-798.586	193.168	513.988	-757.036	182.824
1513	25.20000	446.346	247.417	154.782	397.288	247.711	-70.772	347.649	167.413	-424.925	351.992	193.705	-381.564	361.795	163.192	-377.600	438.081	123.333	-459.878	382.615	149.627	-523.437	386.357	179.831	-535.662	677.669	273.692	221.510	679.513	286.060	165.353	705.079	274.547	163.723	420.764	-798.837	193.044	513.995	-756.995	182.858
1514	25.21667	446.406	248.385	154.640	397.251	248.343	-71.082	347.024	165.432	-424.382	351.646	192.100	-381.297	361.263	161.546	-377.064	437.090	120.231	-459.229	381.751	146.430	-522.856	385.632	176.482	-535.187	677.992	273.251	221.617	680.061	285.688	165.488	705.473	273.993	163.863	420.568	-799.111	192.933	513.995	-757.001	182.837
1515	25.23333	446.457	249.219	154.434	397.101	248.852	-71.282	346.480	163.076	-423.752	351.314	190.166	-380.978	360.831	159.579	-376.450	436.322	117.142	-458.319	381.038	142.936	-522.039	385.037	172.802	-534.732	678.320	272.802	221.743	680.459	285.312	165.623	705.809	273.442	163.995	420.903	-798.597	193.168	513.990	-756.968	182.849
1516	25.25000	446.451	249.962	154.358	396.905	249.250	-71.422	345.923	160.477	-423.022	350.898	187.978	-380.519	360.328	157.442	-375.714	435.780	113.865	-457.202	380.459	139.121	-521.040	384.602	168.859	-534.106	678.578	272.373	221.899	680.860	284.917	165.824	706.117	272.882	164.152	420.907	-798.581	193.169	513.987	-757.003	182.817
1517	25.26667	446.413	250.557	154.329	396.655	249.525	-71.466	345.384	157.638	-422.225	350.439	185.580	-380.010	359.772	155.112	-374.900	435.259	110.488	-455.819	379.956	135.188	-519.901	384.069	164.741	-533.214	678.740	271.964	222.107	681.106	284.510	166.014	706.325	272.416	164.346	420.776	-798.774	193.076	513.987	-756.998	182.793
1518	25.28333	446.327	251.043	154.369	396.356	249.620	-71.418	344.870	154.649	-421.347	349.973	183.026	-379.385	359.290	152.587	-374.026	434.627	107.104	-454.572	379.343	131.171	-518.691	383.555	160.545	-532.361	678.848	271.523	222.305	681.302	284.141	166.240	706.449	271.877	164.542	420.868	-798.634	193.141	513.989	-756.986	182.800
1519	25.30000	446.180	251.392	154.417	395.882	249.700	-71.392	344.322	151.410	-420.261	349.582	180.232	-378.614	358.878	149.778	-373.034	433.986	103.418	-453.112	378.718	127.056	-517.403	382.752	156.233	-531.392	678.928	271.062	222.577	681.430	283.707	166.502	706.505	271.327	164.755	420.949	-798.537	193.205	513.992	-756.989	182.809
1520	25.31667	446.002	251.620	154.429	395.277	249.899	-71.367	343.872	147.678	-418.894	349.291	176.967	-377.652	358.570	146.610	-371.737	433.520	99.565	-451.676	377.819	122.553	-515.883	381.749	151.547	-530.096	678.845	270.518	222.772	681.457	283.239	166.751	706.499	270.808	165.004	420.788	-798.794	193.085	514.003	-756.971	182.804
