NO_OF_FRAMES	2923
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:46:05	5971.01332311
DATA_INCLUDED	3D
MARKER_NAMES	Back top	Back right	Back left	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Box back	Box left
Frame	Time	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
1349	22.46667	601.928	279.239	266.961	597.587	300.417	213.174	623.356	291.347	206.775	385.912	194.184	109.951	395.480	261.577	-88.433	342.434	221.025	-456.643	353.556	237.302	-407.707	353.635	202.856	-412.119	413.683	156.847	-506.583	374.255	212.897	-559.900	380.339	241.285	-564.519	407.313	-777.629	193.817	497.539	-743.704	190.262
1350	22.48333	601.627	279.403	266.957	597.288	300.619	213.185	623.056	291.550	206.772	385.735	194.338	109.952	395.411	261.977	-88.402	341.962	220.995	-456.463	352.736	236.930	-407.787	353.297	202.878	-411.957	413.371	157.057	-506.654	373.742	213.029	-559.797	379.665	241.367	-564.348	407.302	-777.651	193.799	497.539	-743.706	190.277
1351	22.50000	601.348	279.594	266.963	596.988	300.821	213.212	622.771	291.757	206.771	385.559	194.416	109.931	395.190	262.218	-88.369	341.411	220.641	-456.271	352.244	236.596	-407.739	352.903	202.576	-411.751	413.014	156.827	-506.659	373.027	212.666	-559.669	379.158	241.032	-564.306	407.257	-777.716	193.793	497.568	-743.674	190.263
1352	22.51667	601.065	279.779	266.996	596.653	301.005	213.238	622.486	291.998	206.817	385.375	194.427	109.928	394.903	262.298	-88.348	340.799	220.042	-456.117	351.746	236.206	-407.724	352.465	202.138	-411.583	412.364	156.126	-506.449	372.358	211.716	-559.494	378.504	239.984	-564.182	407.295	-777.691	193.795	497.559	-743.676	190.266
1353	22.53333	600.759	279.950	267.001	596.334	301.192	213.259	622.164	292.267	206.861	385.195	194.380	109.961	394.728	262.275	-88.348	340.115	219.301	-455.937	351.192	235.615	-407.662	351.935	201.608	-411.412	411.414	155.178	-506.203	371.519	210.399	-559.334	377.627	238.567	-564.293	407.284	-777.706	193.777	497.546	-743.708	190.263
1354	22.55000	600.484	280.143	267.007	596.007	301.384	213.257	621.865	292.496	206.889	384.972	194.326	109.993	394.680	262.199	-88.381	339.361	218.422	-455.808	350.639	234.893	-407.535	351.272	200.892	-411.136	410.127	153.813	-505.916	370.599	208.932	-559.190	376.445	237.087	-564.293	407.303	-777.647	193.807	497.547	-743.704	190.264
1355	22.56667	600.192	280.311	267.032	595.670	301.601	213.307	621.569	292.729	206.934	384.770	194.252	110.036	394.624	262.064	-88.430	338.546	217.411	-455.501	350.051	233.944	-407.432	350.597	199.938	-410.910	407.344	151.159	-506.056	369.443	207.427	-559.006	375.304	235.521	-564.142	407.260	-777.731	193.782	497.536	-743.712	190.254
1356	22.58333	599.897	280.477	267.043	595.383	301.769	213.331	621.273	292.971	206.945	384.601	194.196	110.081	394.469	261.807	-88.451	337.641	216.080	-455.251	349.343	232.721	-407.281	349.785	198.799	-410.639	406.141	149.564	-505.958	368.320	205.854	-558.782	374.397	233.782	-564.064	407.234	-777.795	193.742	497.553	-743.701	190.276
1357	22.60000	599.662	280.638	267.038	595.128	301.916	213.338	621.000	293.141	206.927	384.396	194.086	110.110	394.109	261.448	-88.505	336.739	214.510	-455.031	348.545	231.318	-407.124	349.054	197.394	-410.419	405.356	148.030	-505.743	367.257	203.990	-558.626	373.521	231.849	-563.946	407.239	-777.725	193.772	497.569	-743.662	190.268
1358	22.61667	599.444	280.768	267.007	594.875	302.055	213.294	620.748	293.316	206.893	384.213	193.893	110.150	393.706	261.047	-88.550	335.870	212.677	-454.911	347.727	229.659	-407.138	348.266	195.726	-410.213	404.925	146.519	-505.558	366.250	201.829	-558.417	372.514	229.709	-563.826	407.286	-777.696	193.769	497.550	-743.671	190.279
1359	22.63333	599.212	280.891	266.966	594.617	302.170	213.252	620.522	293.451	206.846	384.040	193.648	110.171	393.306	260.578	-88.654	334.963	210.640	-454.711	346.751	227.904	-407.084	347.482	193.928	-409.999	404.504	144.716	-505.067	365.212	199.399	-558.240	371.074	227.326	-563.826	407.315	-777.617	193.803	497.532	-743.722	190.236
1360	22.65000	598.995	281.018	266.949	594.349	302.272	213.200	620.264	293.578	206.777	383.821	193.402	110.223	392.886	260.077	-88.743	333.949	208.501	-454.473	345.849	226.062	-406.932	346.711	192.084	-409.694	403.786	142.604	-504.603	363.889	196.795	-558.038	369.458	224.743	-563.769	407.286	-777.701	193.787	497.535	-743.685	190.261
1361	22.66667	598.795	281.152	266.929	594.119	302.370	213.146	620.051	293.704	206.724	383.623	193.101	110.288	392.417	259.504	-88.824	332.882	206.374	-454.177	344.954	224.100	-406.832	345.914	190.180	-409.380	402.723	140.440	-504.355	362.395	194.140	-557.814	368.056	222.021	-563.704	407.306	-777.647	193.807	497.522	-743.732	190.249
1362	22.68333	598.610	281.298	266.909	593.910	302.483	213.125	619.857	293.844	206.717	383.427	192.802	110.340	391.946	258.936	-88.892	331.801	204.130	-453.907	344.020	222.190	-406.771	345.097	188.232	-409.073	401.744	138.251	-504.030	360.971	191.521	-557.497	366.761	219.299	-563.576	407.309	-777.677	193.796	497.531	-743.709	190.250
1363	22.70000	598.411	281.411	266.911	593.693	302.569	213.144	619.635	293.957	206.718	383.273	192.477	110.377	391.421	258.405	-88.944	330.770	201.774	-453.588	343.054	220.071	-406.581	344.178	186.155	-408.760	400.772	135.929	-503.616	359.774	188.852	-557.247	365.368	216.682	-563.391	407.255	-777.740	193.779	497.585	-743.660	190.282
1364	22.71667	598.199	281.501	266.912	593.417	302.654	213.161	619.375	294.053	206.713	383.134	192.191	110.442	391.081	258.026	-88.991	329.727	199.263	-453.313	342.012	217.724	-406.433	343.265	183.808	-408.372	399.815	133.479	-503.083	358.590	186.065	-556.933	363.825	213.969	-563.218	407.208	-777.836	193.725	497.566	-743.684	190.268
1365	22.73333	597.993	281.553	266.872	593.141	302.659	213.110	619.119	294.098	206.672	382.989	191.957	110.495	390.780	257.736	-89.047	328.596	196.425	-452.929	340.899	215.243	-406.278	342.353	181.274	-407.976	398.914	130.968	-502.608	357.225	183.032	-556.456	362.150	211.024	-562.979	407.320	-777.660	193.804	497.552	-743.693	190.259
1366	22.75000	597.821	281.623	266.827	592.947	302.650	213.031	618.929	294.103	206.617	382.800	191.734	110.550	390.206	257.347	-89.181	327.480	193.228	-452.485	339.807	212.328	-405.946	341.585	178.453	-407.547	398.648	128.085	-501.672	355.776	179.638	-556.070	360.410	207.657	-562.679	407.205	-777.811	193.741	497.533	-743.710	190.241
1367	22.76667	597.666	281.688	266.793	592.744	302.663	212.992	618.690	294.097	206.566	382.584	191.458	110.614	389.472	256.827	-89.273	326.341	189.670	-451.990	338.676	209.211	-405.687	340.863	175.393	-407.025	398.216	125.247	-501.018	353.997	175.709	-555.600	358.443	203.882	-562.374	407.254	-777.764	193.759	497.527	-743.700	190.276
1368	22.78333	597.496	281.715	266.850	592.523	302.661	213.014	618.458	294.112	206.590	382.412	191.125	110.609	388.763	256.230	-89.406	325.114	185.848	-451.472	337.468	205.919	-405.276	340.052	172.138	-406.521	397.879	122.036	-500.117	352.439	171.382	-555.130	356.311	199.667	-562.229	407.280	-777.682	193.796	497.572	-743.662	190.273
1369	22.80000	597.321	281.751	266.913	592.313	302.663	213.062	618.260	294.117	206.628	382.257	190.698	110.585	388.239	255.606	-89.643	323.809	181.741	-451.021	336.156	202.232	-405.006	339.022	168.515	-405.959	398.158	117.314	-498.696	350.817	166.814	-554.622	354.089	195.183	-561.885	407.263	-777.759	193.760	497.559	-743.674	190.258
