NO_OF_FRAMES	2308
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:26:18	4784.01216723
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Hand left	Hand top	Shoulder	Hand right	Back left	Elbow	Back right	Back top	Index	Middle	Thumb
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Hand left X	Hand left Y	Hand left Z	Hand top X	Hand top Y	Hand top Z	Shoulder X	Shoulder Y	Shoulder Z	Hand right X	Hand right Y	Hand right Z	Back left X	Back left Y	Back left Z	Elbow X	Elbow Y	Elbow Z	Back right X	Back right Y	Back right Z	Back top X	Back top Y	Back top Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Thumb X	Thumb Y	Thumb Z	
1422	23.68333	514.934	-777.195	192.692	606.244	-743.406	191.053	422.614	-7.053	-384.682	387.224	-13.967	-418.419	494.026	98.809	56.246	405.942	20.660	-386.123	761.188	123.105	118.238	460.978	87.300	-173.553	735.315	133.451	114.095	722.936	128.971	170.261	382.116	-44.373	-521.289	348.361	-33.347	-511.303	451.120	-43.358	-497.588
1423	23.70000	514.773	-777.443	192.594	606.235	-743.401	191.069	423.001	-8.408	-383.921	387.618	-15.750	-417.599	493.866	98.418	56.368	406.677	18.893	-384.439	760.908	123.055	118.248	461.077	87.069	-173.530	735.032	133.343	114.099	722.634	128.763	170.279	383.402	-46.686	-520.643	348.864	-36.469	-510.495	451.075	-45.519	-496.518
1424	23.71667	514.881	-777.333	192.618	606.257	-743.384	191.082	423.246	-9.920	-383.234	387.936	-17.647	-416.867	493.663	97.970	56.536	406.805	17.298	-384.006	760.671	122.987	118.244	461.085	86.789	-173.446	734.732	133.216	114.102	722.351	128.591	170.290	383.742	-50.194	-519.388	349.583	-39.533	-509.831	451.432	-47.917	-495.547
1425	23.73333	514.870	-777.277	192.668	606.232	-743.422	191.062	423.347	-11.596	-382.518	388.207	-19.599	-416.314	493.483	97.559	56.734	406.886	15.593	-383.595	760.428	122.928	118.257	460.980	86.426	-173.300	734.449	133.121	114.076	722.181	128.566	170.398	383.234	-54.334	-517.694	350.379	-42.318	-509.373	452.099	-50.541	-494.305
1426	23.75000	514.910	-777.408	192.700	606.245	-743.381	191.068	423.302	-13.348	-381.753	388.344	-21.604	-415.633	493.300	97.085	56.972	406.843	13.834	-383.160	760.233	122.924	118.256	460.805	86.012	-173.121	734.217	133.074	114.117	721.953	128.439	170.421	382.348	-58.662	-515.544	351.517	-44.932	-509.424	452.657	-53.333	-493.127
1427	23.76667	514.874	-777.283	192.661	606.225	-743.418	191.065	423.241	-15.199	-380.998	388.370	-23.780	-414.854	493.026	96.440	57.168	406.787	11.943	-382.577	759.991	122.935	118.249	460.576	85.461	-172.909	733.918	133.011	114.156	721.704	128.332	170.435	383.241	-61.105	-514.282	352.836	-47.432	-509.401	452.881	-56.362	-491.730
1428	23.78333	514.795	-777.462	192.574	606.242	-743.391	191.078	423.220	-17.248	-379.951	388.286	-26.197	-413.745	492.794	95.686	57.336	406.724	9.894	-381.896	759.694	122.965	118.238	460.370	84.741	-172.727	733.612	132.981	114.148	721.407	128.227	170.419	381.826	-63.935	-512.397	354.093	-49.834	-509.271	452.769	-59.335	-490.479
1429	23.80000	514.785	-777.417	192.589	606.250	-743.387	191.064	423.211	-19.465	-378.877	388.166	-28.949	-412.299	492.455	94.861	57.561	406.642	7.583	-381.058	759.353	123.038	118.207	460.103	84.013	-172.596	733.268	132.967	114.133	721.102	128.178	170.411	379.604	-67.134	-510.297	355.216	-51.491	-509.919	452.289	-62.567	-489.126
1430	23.81667	514.811	-777.400	192.618	606.242	-743.430	191.052	423.102	-22.289	-377.444	387.920	-32.237	-410.658	492.047	93.922	57.691	406.466	4.741	-379.905	759.019	123.154	118.206	459.781	83.527	-172.396	732.917	132.940	114.092	720.732	128.080	170.406	378.080	-70.687	-508.392	356.787	-52.890	-510.135	451.851	-66.220	-487.398
1431	23.83333	514.753	-777.463	192.585	606.247	-743.394	191.049	422.987	-25.629	-375.484	387.698	-36.195	-408.393	491.698	92.984	57.770	406.281	1.300	-378.380	758.620	123.248	118.199	459.450	83.322	-172.191	732.461	132.914	114.096	720.295	127.929	170.392	378.757	-74.576	-507.091	359.031	-56.499	-509.401	451.508	-70.799	-485.061
1432	23.85000	514.860	-777.324	192.653	606.232	-743.441	191.046	422.906	-29.619	-372.815	387.500	-41.030	-405.325	491.260	92.176	57.989	406.116	-2.806	-376.299	758.152	123.322	118.242	459.162	83.503	-171.962	731.954	132.902	114.150	719.799	127.760	170.448	379.804	-80.071	-504.646	361.613	-61.519	-507.693	451.274	-76.842	-481.643
1433	23.86667	514.817	-777.451	192.565	606.226	-743.412	191.058	422.952	-34.382	-369.161	387.433	-46.841	-401.213	490.825	91.681	58.412	405.998	-7.708	-373.400	757.626	123.402	118.274	458.914	83.958	-171.638	731.332	132.838	114.222	719.272	127.607	170.507	380.711	-87.964	-500.315	364.110	-68.695	-504.370	451.046	-84.420	-476.709
1434	23.88333	514.782	-777.402	192.592	606.233	-743.439	191.059	423.241	-40.043	-364.319	387.598	-53.832	-395.774	490.469	91.334	58.829	405.992	-13.700	-369.466	757.089	123.483	118.341	458.764	84.756	-171.088	730.795	132.772	114.302	718.702	127.409	170.597	381.695	-97.890	-494.056	365.910	-78.157	-499.077	451.483	-93.671	-470.995
1435	23.90000	514.770	-777.434	192.602	606.234	-743.410	191.074	423.882	-46.643	-358.159	388.024	-61.969	-388.560	490.060	91.244	59.550	406.246	-20.689	-364.102	756.536	123.518	118.482	458.692	85.786	-170.203	730.171	132.641	114.405	718.098	127.152	170.684	382.204	-109.679	-485.203	366.895	-89.750	-491.269	nan	nan	nan
1436	23.91667	514.773	-777.451	192.596	606.242	-743.391	191.078	424.866	-53.974	-350.436	388.730	-71.055	-379.591	489.728	91.247	60.361	407.090	-29.089	-356.419	755.951	123.547	118.570	458.687	86.759	-169.057	729.524	132.500	114.555	717.506	126.903	170.771	382.261	-123.481	-473.542	367.243	-103.671	-480.630	nan	nan	nan
1437	23.93333	514.720	-777.504	192.553	606.229	-743.433	191.047	426.015	-61.982	-341.161	389.518	-81.008	-368.626	489.427	91.358	61.422	407.889	-37.759	-348.326	755.407	123.604	118.698	458.681	87.577	-167.462	728.933	132.396	114.682	716.931	126.680	170.886	382.617	-138.796	-459.223	367.824	-119.322	-467.484	nan	nan	nan
1438	23.95000	514.734	-777.499	192.552	606.238	-743.418	191.044	427.238	-70.886	-330.250	390.532	-91.900	-355.928	489.015	91.388	62.628	408.671	-47.406	-338.698	754.868	123.682	118.841	458.818	88.011	-165.601	728.333	132.332	114.836	716.439	126.471	171.085	383.289	-155.309	-442.601	369.046	-136.182	-452.353	nan	nan	nan
