NO_OF_FRAMES	2237
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:33:37	5222.67107833
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Middle	Index	Thumb	Hand top	Hand left	Hand right	Elbow	Shoulder	Back top	Back right	Back left
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Middle X	Middle Y	Middle Z	Index X	Index Y	Index Z	Thumb X	Thumb Y	Thumb Z	Hand top X	Hand top Y	Hand top Z	Hand left X	Hand left Y	Hand left Z	Hand right X	Hand right Y	Hand right Z	Elbow X	Elbow Y	Elbow Z	Shoulder X	Shoulder Y	Shoulder Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	
503	8.36667	518.449	-789.079	192.786	610.070	-755.915	190.518	471.533	-141.259	-215.952	474.457	-143.983	-192.351	534.708	-105.634	-169.960	455.627	-31.089	-171.718	481.941	10.054	-165.732	461.569	15.549	-190.520	521.637	259.646	-186.310	526.453	221.329	77.781	755.870	259.640	171.750	766.844	267.982	115.859	793.576	259.579	119.293
504	8.38333	518.460	-789.104	192.776	610.059	-755.899	190.519	467.868	-140.608	-216.362	470.425	-143.424	-192.752	531.109	-105.663	-169.822	452.732	-30.474	-171.973	479.339	10.426	-165.876	459.145	16.113	-190.798	520.687	259.830	-185.431	523.773	219.050	78.476	753.110	255.905	171.257	764.018	263.852	115.334	790.720	255.401	118.761
505	8.40000	518.374	-789.210	192.721	610.064	-755.916	190.506	464.407	-140.750	-215.587	466.583	-143.497	-192.041	527.784	-106.292	-168.852	449.969	-30.499	-171.643	476.921	10.171	-165.522	456.838	15.945	-190.500	519.541	259.316	-184.657	521.078	216.668	79.045	750.249	252.168	170.861	761.112	259.747	114.889	787.780	251.253	118.311
506	8.41667	518.234	-789.387	192.629	610.051	-755.928	190.523	461.259	-141.689	-214.192	463.267	-144.405	-190.606	524.847	-107.451	-167.072	447.383	-31.268	-170.579	474.606	9.235	-164.665	454.709	15.005	-189.800	518.126	258.177	-183.868	518.208	214.081	79.687	747.275	248.343	170.506	758.055	255.687	114.466	784.734	247.170	117.888
507	8.43333	518.479	-789.078	192.801	610.053	-755.902	190.535	458.724	-143.607	-211.959	460.444	-146.052	-188.532	522.381	-109.204	-164.673	445.167	-32.868	-169.178	472.540	7.584	-163.418	452.694	13.253	-188.625	516.430	256.400	-183.239	515.308	211.254	80.320	744.275	244.649	170.121	754.934	251.670	114.019	781.590	243.127	117.437
508	8.45000	518.245	-789.359	192.655	610.075	-755.903	190.527	456.285	-146.442	-208.982	457.857	-148.511	-185.761	520.431	-111.559	-161.706	443.107	-35.292	-167.263	470.505	5.146	-161.755	450.776	10.682	-187.036	514.409	253.931	-182.604	512.282	208.147	80.915	741.198	241.019	169.726	751.704	247.742	113.560	778.410	239.246	116.951
509	8.46667	518.254	-789.349	192.644	610.065	-755.932	190.517	454.220	-150.044	-205.492	455.660	-151.763	-182.388	518.672	-114.523	-158.262	441.184	-38.437	-164.799	468.666	2.036	-159.721	448.905	7.301	-185.035	512.033	250.789	-182.156	509.186	204.696	81.377	738.030	237.455	169.294	748.413	243.938	113.052	775.121	235.459	116.411
510	8.48333	518.399	-789.204	192.721	610.040	-755.957	190.501	452.656	-154.389	-201.286	453.898	-155.668	-178.361	517.107	-118.087	-154.179	439.357	-42.277	-161.875	466.814	-1.741	-157.410	447.111	3.209	-182.814	509.286	246.965	-181.815	506.650	200.986	81.574	734.848	233.995	168.788	744.882	240.278	112.401	771.773	231.844	115.829
511	8.50000	518.207	-789.381	192.645	610.062	-755.935	190.518	450.991	-159.433	-196.303	452.264	-160.254	-173.894	515.789	-122.189	-149.456	437.766	-46.843	-158.579	465.116	-6.268	-154.780	445.332	-1.685	-180.238	506.127	242.394	-181.625	503.295	196.926	81.876	731.608	230.665	168.308	741.450	236.763	111.884	768.326	228.344	115.199
512	8.51667	518.265	-789.316	192.653	610.060	-755.928	190.511	449.558	-165.275	-190.955	450.771	-165.580	-168.904	514.915	-126.801	-144.352	436.271	-52.246	-155.044	463.572	-11.440	-151.849	443.662	-7.345	-177.345	502.514	237.203	-181.519	499.891	192.677	82.173	728.358	227.424	167.850	737.941	233.375	111.335	764.898	225.011	114.612
513	8.53333	518.257	-789.336	192.670	610.058	-755.906	190.532	448.650	-171.891	-185.338	449.838	-171.676	-163.487	514.477	-131.912	-138.966	434.999	-58.363	-151.178	462.000	-17.305	-148.678	442.049	-13.772	-174.176	498.540	231.309	-181.470	496.534	188.268	82.432	725.029	224.297	167.385	734.431	230.126	110.861	761.426	221.890	114.022
514	8.55000	518.298	-789.276	192.676	610.071	-755.891	190.540	448.092	-179.060	-179.373	449.515	-178.393	-157.916	514.384	-137.418	-133.452	433.900	-65.155	-147.018	460.473	-23.798	-145.221	440.433	-20.828	-170.737	494.130	224.728	-181.481	493.247	183.595	82.716	721.681	221.336	166.990	730.900	227.128	110.431	757.906	218.957	113.549
515	8.56667	518.426	-789.142	192.758	610.049	-755.949	190.525	447.780	-186.698	-172.888	449.510	-185.487	-151.832	514.730	-143.235	-127.875	432.982	-72.401	-142.522	459.031	-30.740	-141.482	438.821	-28.396	-166.927	489.457	217.653	-181.504	489.991	178.789	82.950	718.337	218.509	166.647	727.381	224.280	110.031	754.416	216.239	113.097
516	8.58333	518.125	-789.527	192.571	610.057	-755.904	190.525	447.499	-194.531	-165.659	449.626	-192.825	-145.030	515.227	-149.203	-121.973	432.107	-79.836	-137.456	457.750	-37.895	-137.506	437.298	-36.250	-162.811	484.522	210.194	-181.481	486.738	173.813	83.148	714.984	215.789	166.270	723.887	221.517	109.662	750.845	213.657	112.647
517	8.60000	518.458	-789.063	192.779	610.048	-755.917	190.519	447.515	-202.615	-158.162	450.010	-200.143	-137.708	515.847	-155.204	-115.707	431.482	-87.396	-132.063	456.689	-45.145	-133.202	435.952	-44.280	-158.336	479.402	202.385	-181.436	483.462	168.677	83.374	711.475	213.033	165.842	720.463	218.870	109.354	747.494	211.181	112.248
518	8.61667	518.453	-789.116	192.755	610.057	-755.918	190.506	448.059	-210.316	-150.034	450.777	-207.512	-129.992	516.581	-161.163	-109.148	430.945	-94.984	-126.256	455.655	-52.482	-128.569	434.703	-52.365	-153.531	474.289	194.424	-181.299	480.264	163.545	83.586	708.384	210.479	165.648	717.163	216.380	109.128	744.260	208.870	111.991
519	8.63333	518.283	-789.321	192.645	610.062	-755.881	190.526	448.774	-218.103	-141.822	451.695	-214.850	-122.127	517.587	-166.990	-102.391	430.633	-102.579	-120.453	454.724	-59.783	-123.712	433.558	-60.431	-148.551	469.251	186.282	-181.041	477.217	158.472	83.919	705.276	208.096	165.526	713.874	213.898	108.909	740.989	206.557	111.680
520	8.65000	518.189	-789.448	192.618	610.053	-755.909	190.536	450.472	-225.807	-133.806	452.480	-222.111	-114.284	518.633	-172.763	-95.702	430.386	-110.115	-114.458	453.708	-67.056	-118.698	432.541	-68.467	-143.341	464.569	178.081	-180.645	474.407	153.527	84.310	702.447	205.772	165.598	711.110	211.527	109.044	738.114	204.400	111.692
521	8.66667	518.261	-789.352	192.665	610.053	-755.907	190.532	450.570	-233.447	-125.439	452.844	-229.266	-106.272	519.858	-178.538	-89.066	430.153	-117.586	-108.362	452.690	-74.323	-113.415	431.611	-76.398	-137.958	460.098	169.773	-180.054	471.778	148.680	84.953	699.813	203.506	165.869	708.291	209.294	109.268	735.486	202.328	111.930
522	8.68333	518.210	-789.368	192.640	610.056	-755.907	190.528	450.371	-240.903	-116.549	453.332	-236.260	-98.074	521.037	-184.249	-82.308	430.013	-124.888	-102.118	452.170	-81.415	-108.230	430.728	-84.158	-132.413	455.938	161.491	-179.249	468.518	143.811	85.951	697.319	201.283	166.236	705.642	207.189	109.591	732.900	200.376	112.229
523	8.70000	518.282	-789.282	192.674	610.057	-755.904	190.526	450.144	-248.201	-107.502	453.666	-243.127	-89.623	521.919	-189.995	-75.194	429.826	-132.033	-95.642	451.536	-88.436	-102.640	429.975	-91.822	-126.667	452.335	153.057	-178.527	466.053	139.044	86.778	694.922	199.160	166.589	703.121	205.143	109.979	730.419	198.528	112.537
524	8.71667	518.461	-789.114	192.773	610.051	-755.939	190.502	450.011	-255.347	-98.251	453.820	-249.935	-80.860	522.604	-195.657	-67.444	429.595	-139.136	-88.939	450.902	-95.483	-96.762	429.363	-99.473	-120.667	448.946	144.447	-177.605	463.668	134.298	87.662	692.803	197.075	167.023	700.691	203.171	110.400	728.079	196.723	112.884
525	8.73333	518.326	-789.224	192.720	610.077	-755.875	190.536	449.717	-262.523	-88.562	454.034	-256.790	-71.756	523.336	-201.127	-58.950	429.427	-146.345	-82.093	450.303	-102.656	-90.581	428.817	-107.244	-114.465	445.910	135.424	-176.657	461.482	129.692	88.479	690.712	195.143	167.446	698.435	201.227	110.749	725.840	194.996	113.189
526	8.75000	518.325	-789.281	192.691	610.055	-755.897	190.519	447.933	-267.807	-77.472	452.895	-262.837	-61.333	524.235	-206.633	-50.100	429.311	-153.800	-74.883	449.784	-110.035	-84.130	428.030	-115.123	-107.901	444.192	125.247	-175.906	459.524	125.214	89.382	688.787	193.314	167.829	696.341	199.458	111.093	723.755	193.374	113.495
527	8.76667	518.134	-789.484	192.603	610.057	-755.906	190.530	447.632	-275.515	-67.607	452.825	-270.223	-51.832	525.404	-212.388	-41.270	429.344	-161.533	-67.372	448.660	-117.670	-76.787	427.593	-123.284	-100.844	441.270	115.479	-174.874	457.810	120.848	90.105	686.986	191.594	168.154	694.434	197.825	111.434	721.892	191.849	113.762
528	8.78333	518.351	-789.220	192.707	610.040	-755.964	190.514	447.148	-283.439	-57.113	452.651	-277.747	-41.685	527.686	-219.216	-31.519	429.564	-169.442	-59.245	448.413	-125.536	-69.423	427.224	-131.642	-93.230	438.649	105.153	-173.821	456.231	116.443	90.848	685.214	189.989	168.392	692.662	196.291	111.689	720.180	190.439	113.985
529	8.80000	518.276	-789.338	192.646	610.055	-755.901	190.528	446.851	-291.362	-45.868	452.706	-285.272	-30.781	529.055	-224.996	-22.997	429.953	-177.477	-50.604	448.427	-133.627	-61.513	427.408	-140.283	-85.231	435.866	94.307	-172.467	455.266	112.041	91.311	683.748	188.519	168.553	691.114	194.852	111.889	718.660	189.136	114.101
530	8.81667	518.283	-789.341	192.644	610.054	-755.929	190.488	446.905	-299.336	-33.964	452.958	-292.824	-19.210	530.681	-231.176	-13.555	430.463	-185.624	-41.568	448.663	-141.854	-53.495	427.335	-149.088	-76.786	433.124	82.889	-170.957	454.238	107.304	91.834	682.467	187.252	168.681	689.751	193.596	111.994	717.292	188.004	114.191
531	8.83333	518.260	-789.295	192.672	610.058	-755.915	190.536	447.259	-307.479	-21.740	453.460	-300.612	-7.249	532.408	-237.506	-3.334	431.054	-194.081	-32.159	449.101	-150.471	-45.182	427.441	-158.263	-68.094	430.598	70.844	-169.175	453.190	102.812	92.582	681.423	186.064	168.800	688.600	192.531	112.077	716.188	186.991	114.277
532	8.85000	518.196	-789.432	192.629	610.077	-755.883	190.549	447.401	-316.098	-9.557	453.897	-308.843	4.602	534.210	-244.005	7.313	431.729	-203.003	-22.556	449.677	-159.358	-36.610	427.648	-167.747	-59.055	428.134	58.180	-166.980	452.336	98.422	93.340	680.652	185.040	168.820	687.777	191.585	112.162	715.355	186.128	114.254
533	8.86667	518.338	-789.234	192.697	610.072	-755.906	190.548	447.440	-325.096	2.473	453.931	-317.572	16.360	536.229	-250.864	18.037	432.644	-212.334	-12.888	450.222	-168.684	-27.531	428.079	-177.529	-49.728	425.880	45.018	-164.374	451.633	94.323	94.163	680.170	184.231	168.764	687.253	190.824	112.095	714.853	185.308	114.172
534	8.88333	518.413	-789.164	192.743	610.069	-755.886	190.527	446.933	-334.511	14.501	453.749	-326.758	28.048	538.783	-258.054	28.555	434.016	-222.331	-2.750	450.929	-178.332	-18.101	428.745	-187.529	-40.078	423.830	31.360	-161.349	451.215	90.431	95.005	679.890	183.584	168.568	686.911	190.158	111.905	714.537	184.618	113.983
535	8.90000	518.336	-789.247	192.696	610.065	-755.925	190.505	446.374	-344.034	26.849	453.794	-336.163	39.885	541.885	-265.593	38.756	435.564	-232.252	7.228	452.006	-188.207	-8.276	429.663	-197.665	-29.988	421.883	17.355	-157.670	451.009	86.631	95.848	679.963	183.047	168.345	686.818	189.616	111.683	714.405	184.094	113.707
536	8.91667	518.284	-789.316	192.659	610.071	-755.869	190.533	446.589	-353.609	39.391	454.684	-345.640	51.930	545.656	-273.194	49.041	437.498	-242.218	17.828	453.390	-198.086	1.965	430.792	-207.787	-19.415	420.318	3.183	-153.451	451.028	82.775	96.828	679.990	182.717	168.092	686.866	189.183	111.357	714.460	183.697	113.436
537	8.93333	518.402	-789.188	192.731	610.035	-755.928	190.525	447.211	-362.965	52.312	455.932	-354.969	64.354	549.179	-280.746	59.628	439.656	-252.029	28.779	455.005	-207.897	12.478	432.212	-217.879	-8.516	419.251	-11.014	-148.625	451.199	79.016	97.955	680.180	182.434	167.784	687.021	188.827	111.063	714.619	183.303	113.107
538	8.95000	518.427	-789.147	192.767	610.054	-755.906	190.533	448.402	-372.243	65.165	457.460	-364.225	76.778	552.603	-288.514	70.361	442.004	-261.619	40.145	456.901	-217.547	23.212	433.811	-227.801	2.639	418.391	-25.126	-143.185	451.528	75.325	99.248	680.455	182.174	167.408	687.256	188.448	110.672	714.844	182.996	112.735
539	8.96667	518.413	-789.186	192.742	610.083	-755.872	190.550	449.823	-381.316	78.175	459.052	-373.216	89.553	556.032	-296.053	81.494	444.378	-270.959	51.688	459.073	-227.057	34.142	435.714	-237.539	13.962	417.909	-39.067	-137.212	451.992	71.692	100.687	680.745	181.961	167.017	687.521	188.090	110.232	715.124	182.634	112.342
540	8.98333	518.402	-789.143	192.743	610.079	-755.903	190.524	450.862	-390.020	91.615	460.520	-381.886	102.598	559.555	-303.591	92.660	446.976	-279.973	63.434	461.459	-236.312	45.358	437.814	-246.932	25.566	417.779	-52.783	-130.752	452.609	68.051	102.209	681.141	181.705	166.641	687.860	187.693	109.840	715.488	182.268	111.909
541	9.00000	518.443	-789.083	192.765	610.077	-755.863	190.524	451.853	-398.375	105.349	461.980	-390.202	115.909	563.446	-310.913	103.937	450.175	-289.347	75.104	464.097	-245.321	56.829	440.289	-256.149	37.388	418.155	-66.193	-123.885	453.352	64.306	103.893	681.615	181.366	166.335	688.279	187.257	109.504	715.909	181.885	111.599
542	9.01667	518.428	-789.143	192.751	610.066	-755.890	190.528	453.702	-406.652	119.013	463.903	-398.501	129.282	567.391	-318.404	115.238	453.251	-298.103	87.211	466.833	-254.155	68.558	442.736	-265.086	49.566	418.691	-79.314	-116.424	454.176	60.535	105.764	682.130	180.929	166.058	688.756	186.751	109.241	716.399	181.491	111.327
543	9.03333	518.286	-789.298	192.665	610.058	-755.912	190.533	455.918	-415.111	132.377	466.331	-406.952	142.366	571.238	-325.885	126.767	456.382	-306.834	99.497	469.687	-262.921	80.397	445.261	-273.993	61.813	419.659	-92.106	-108.404	455.252	56.828	107.898	682.788	180.504	165.916	689.375	186.287	109.080	717.061	181.082	111.120
544	9.05000	518.448	-789.132	192.766	610.071	-755.871	190.537	457.763	-423.763	145.284	468.297	-415.646	155.118	574.853	-333.585	138.622	459.484	-315.787	111.515	472.616	-271.793	92.297	448.013	-282.935	73.970	421.010	-104.556	-99.809	456.444	53.267	110.204	683.641	180.016	165.735	690.193	185.745	108.967	717.829	180.600	110.953
545	9.06667	518.370	-789.192	192.720	610.079	-755.906	190.528	459.030	-432.922	157.434	469.792	-424.791	167.005	578.420	-341.846	150.439	462.641	-325.120	123.341	475.849	-281.266	104.010	450.795	-291.999	86.071	422.655	-116.642	-90.606	457.807	49.815	112.847	684.598	179.525	165.732	691.129	185.149	108.879	718.764	180.030	110.886
546	9.08333	518.499	-789.055	192.795	610.069	-755.930	190.530	460.846	-442.898	168.554	471.825	-434.914	178.070	582.070	-350.983	161.620	465.976	-334.955	135.036	478.977	-290.911	115.935	453.645	-301.432	98.259	424.567	-128.366	-80.954	459.320	46.336	115.686	685.667	178.956	165.752	692.171	184.610	108.930	719.863	179.465	110.916
547	9.10000	518.222	-789.390	192.613	610.071	-755.894	190.534	463.205	-453.626	178.756	474.293	-445.846	188.214	585.964	-360.945	172.291	469.478	-345.180	146.646	482.274	-300.848	128.015	456.589	-311.000	110.694	426.686	-139.738	-70.729	460.947	42.704	118.865	686.802	178.393	165.857	693.248	184.043	109.014	720.918	178.966	111.005
